method,split,regime,task,seed,episodes,success_rate,contact_precision,budget_violation_rate,fall_rate,balance_margin,recovery_success,energy_contact_cost,calibration_error
no_budget_planner,clean_deployment,nominal_contacts,bimanual_shelf_reach,0,84,0.476190,0.306032,0.295178,0.175122,0.352852,0.293393,0.122240,0.116491
no_budget_planner,clean_deployment,nominal_contacts,bimanual_shelf_reach,1,84,0.511905,0.306832,0.295778,0.174704,0.353697,0.294252,0.122652,0.116904
no_budget_planner,clean_deployment,nominal_contacts,bimanual_shelf_reach,2,84,0.452381,0.307632,0.296378,0.176571,0.338419,0.294963,0.123064,0.117318
no_budget_planner,clean_deployment,nominal_contacts,bimanual_shelf_reach,3,84,0.547619,0.292424,0.296978,0.174725,0.339336,0.295915,0.123476,0.117732
no_budget_planner,clean_deployment,nominal_contacts,bimanual_shelf_reach,4,84,0.440476,0.293224,0.297578,0.177735,0.340009,0.280543,0.123888,0.118145
no_budget_planner,clean_deployment,nominal_contacts,bimanual_shelf_reach,5,84,0.392857,0.294024,0.298178,0.171313,0.341154,0.281793,0.124300,0.118559
no_budget_planner,clean_deployment,nominal_contacts,bimanual_shelf_reach,6,84,0.583333,0.294824,0.298778,0.167181,0.342185,0.282893,0.124712,0.110968
no_budget_planner,clean_deployment,nominal_contacts,door_open_step_through,0,84,0.416667,0.293520,0.297800,0.170465,0.340581,0.290528,0.124040,0.111445
no_budget_planner,clean_deployment,nominal_contacts,door_open_step_through,1,84,0.500000,0.294336,0.298412,0.168913,0.341498,0.291477,0.124460,0.111867
no_budget_planner,clean_deployment,nominal_contacts,door_open_step_through,2,84,0.535714,0.295152,0.299024,0.168503,0.342359,0.292351,0.124880,0.112288
no_budget_planner,clean_deployment,nominal_contacts,door_open_step_through,3,84,0.452381,0.295968,0.299636,0.170951,0.343076,0.293040,0.125301,0.112710
no_budget_planner,clean_deployment,nominal_contacts,door_open_step_through,4,84,0.464286,0.296784,0.300248,0.171113,0.343908,0.293878,0.125721,0.113132
no_budget_planner,clean_deployment,nominal_contacts,door_open_step_through,5,84,0.452381,0.297600,0.300860,0.171847,0.344712,0.294678,0.126141,0.113554
no_budget_planner,clean_deployment,nominal_contacts,door_open_step_through,6,84,0.523810,0.298416,0.301472,0.170580,0.345615,0.295608,0.126561,0.113976
no_budget_planner,clean_deployment,nominal_contacts,box_lift_rebalance,0,84,0.464286,0.307344,0.296162,0.176128,0.356290,0.288208,0.122915,0.116359
no_budget_planner,clean_deployment,nominal_contacts,box_lift_rebalance,1,84,0.416667,0.292120,0.296750,0.177701,0.357019,0.288921,0.123319,0.116764
no_budget_planner,clean_deployment,nominal_contacts,box_lift_rebalance,2,84,0.321429,0.292904,0.297338,0.180417,0.357691,0.289561,0.123723,0.117169
no_budget_planner,clean_deployment,nominal_contacts,box_lift_rebalance,3,84,0.440476,0.293688,0.297926,0.169986,0.359021,0.291055,0.124127,0.117575
no_budget_planner,clean_deployment,nominal_contacts,box_lift_rebalance,4,84,0.440476,0.294472,0.298514,0.170416,0.359807,0.291843,0.124530,0.117980
no_budget_planner,clean_deployment,nominal_contacts,box_lift_rebalance,5,84,0.607143,0.295256,0.299102,0.166846,0.360794,0.292891,0.124934,0.118386
no_budget_planner,clean_deployment,nominal_contacts,box_lift_rebalance,6,84,0.488095,0.296040,0.299690,0.170134,0.361437,0.293493,0.125338,0.118791
no_budget_planner,clean_deployment,nominal_contacts,fallen_object_pickup,0,84,0.404762,0.292960,0.297380,0.178447,0.351166,0.280841,0.123752,0.118086
no_budget_planner,clean_deployment,nominal_contacts,fallen_object_pickup,1,84,0.452381,0.293760,0.297980,0.169740,0.352425,0.282239,0.124164,0.118500
no_budget_planner,clean_deployment,nominal_contacts,fallen_object_pickup,2,84,0.357143,0.294560,0.298580,0.172464,0.353113,0.282894,0.124576,0.110909
no_budget_planner,clean_deployment,nominal_contacts,fallen_object_pickup,3,84,0.345238,0.295360,0.299180,0.173189,0.353901,0.283679,0.124988,0.111323
no_budget_planner,clean_deployment,nominal_contacts,fallen_object_pickup,4,84,0.392857,0.296160,0.299780,0.172485,0.354760,0.284556,0.125400,0.111736
no_budget_planner,clean_deployment,nominal_contacts,fallen_object_pickup,5,84,0.428571,0.296960,0.300380,0.172067,0.355605,0.285416,0.125812,0.112150
no_budget_planner,clean_deployment,nominal_contacts,fallen_object_pickup,6,84,0.523810,0.297760,0.300980,0.170220,0.356521,0.286368,0.126224,0.112564
no_budget_planner,clean_deployment,nominal_contacts,push_cart_with_footstep,0,84,0.440476,0.293296,0.297632,0.177775,0.334847,0.293637,0.123925,0.111806
no_budget_planner,clean_deployment,nominal_contacts,push_cart_with_footstep,1,84,0.535714,0.294120,0.298250,0.167937,0.336187,0.295132,0.124349,0.112232
no_budget_planner,clean_deployment,nominal_contacts,push_cart_with_footstep,2,84,0.392857,0.294944,0.298868,0.171818,0.336841,0.295736,0.124773,0.112658
no_budget_planner,clean_deployment,nominal_contacts,push_cart_with_footstep,3,84,0.523810,0.295768,0.299486,0.169127,0.337824,0.296767,0.125198,0.113084
no_budget_planner,clean_deployment,nominal_contacts,push_cart_with_footstep,4,84,0.428571,0.296592,0.300104,0.171865,0.338535,0.281437,0.125622,0.113510
no_budget_planner,clean_deployment,nominal_contacts,push_cart_with_footstep,5,84,0.500000,0.297416,0.300722,0.170603,0.339446,0.282375,0.126046,0.113936
no_budget_planner,clean_deployment,nominal_contacts,push_cart_with_footstep,6,84,0.464286,0.298240,0.301340,0.171912,0.324220,0.283146,0.126471,0.114361
no_budget_planner,clean_deployment,slippery_foot_contact,bimanual_shelf_reach,0,84,0.452381,0.290172,0.313368,0.178824,0.336701,0.282095,0.128823,0.117378
no_budget_planner,clean_deployment,slippery_foot_contact,bimanual_shelf_reach,1,84,0.488095,0.291013,0.313998,0.178428,0.337585,0.282993,0.129256,0.117812
no_budget_planner,clean_deployment,slippery_foot_contact,bimanual_shelf_reach,2,84,0.357143,0.291852,0.314628,0.182031,0.338268,0.283631,0.129688,0.118246
no_budget_planner,clean_deployment,slippery_foot_contact,bimanual_shelf_reach,3,84,0.321429,0.292692,0.315258,0.183349,0.339067,0.284417,0.130121,0.118680
no_budget_planner,clean_deployment,slippery_foot_contact,bimanual_shelf_reach,4,84,0.404762,0.293532,0.315888,0.181810,0.340007,0.285389,0.130553,0.119114
no_budget_planner,clean_deployment,slippery_foot_contact,bimanual_shelf_reach,5,84,0.357143,0.294372,0.316518,0.183414,0.340791,0.286157,0.130986,0.119548
no_budget_planner,clean_deployment,slippery_foot_contact,bimanual_shelf_reach,6,84,0.440476,0.295212,0.317148,0.181875,0.341732,0.287129,0.131419,0.119982
no_budget_planner,clean_deployment,slippery_foot_contact,door_open_step_through,0,84,0.476190,0.289341,0.312744,0.177796,0.335928,0.290674,0.128394,0.118120
no_budget_planner,clean_deployment,slippery_foot_contact,door_open_step_through,1,84,0.440476,0.290196,0.313386,0.179123,0.336742,0.291476,0.128835,0.118562
no_budget_planner,clean_deployment,slippery_foot_contact,door_open_step_through,2,84,0.511905,0.291052,0.314028,0.177878,0.337684,0.276437,0.129276,0.119004
no_budget_planner,clean_deployment,slippery_foot_contact,door_open_step_through,3,84,0.488095,0.291908,0.314670,0.178919,0.338512,0.277257,0.129717,0.119447
no_budget_planner,clean_deployment,slippery_foot_contact,door_open_step_through,4,84,0.464286,0.292764,0.315312,0.179960,0.339340,0.278077,0.130158,0.119889
no_budget_planner,clean_deployment,slippery_foot_contact,door_open_step_through,5,84,0.511905,0.293621,0.315954,0.179287,0.340254,0.279009,0.130599,0.120331
no_budget_planner,clean_deployment,slippery_foot_contact,door_open_step_through,6,84,0.476190,0.294476,0.316596,0.180614,0.341067,0.279811,0.131040,0.120773
no_budget_planner,clean_deployment,slippery_foot_contact,box_lift_rebalance,0,84,0.369048,0.299453,0.308322,0.185136,0.347841,0.284533,0.125358,0.121133
no_budget_planner,clean_deployment,slippery_foot_contact,box_lift_rebalance,1,84,0.369048,0.300277,0.308940,0.185588,0.348667,0.285359,0.125782,0.121559
no_budget_planner,clean_deployment,slippery_foot_contact,box_lift_rebalance,2,84,0.369048,0.285092,0.309558,0.186040,0.349492,0.286186,0.126207,0.113981
no_budget_planner,clean_deployment,slippery_foot_contact,box_lift_rebalance,3,84,0.440476,0.285916,0.310176,0.184778,0.350403,0.287124,0.126631,0.114407
no_budget_planner,clean_deployment,slippery_foot_contact,box_lift_rebalance,4,84,0.369048,0.286741,0.310794,0.178940,0.351543,0.288359,0.127055,0.114833
no_budget_planner,clean_deployment,slippery_foot_contact,box_lift_rebalance,5,84,0.285714,0.287565,0.311412,0.181393,0.352268,0.289056,0.127480,0.115258
