split,regime,task,seed,episodes,success_rate,contact_precision,budget_violation_rate,fall_rate,balance_margin,recovery_success,energy_contact_cost,calibration_error,ablation,interpretation
combined_stress,nominal_contacts,bimanual_shelf_reach,0,84,0.773810,0.641291,0.095584,0.041398,0.634217,0.597354,0.225886,0.066864,full_contact_budget_controller,all components
combined_stress,nominal_contacts,bimanual_shelf_reach,1,84,0.666667,0.642187,0.096256,0.044461,0.634984,0.582075,0.226347,0.059323,full_contact_budget_controller,all components
combined_stress,nominal_contacts,bimanual_shelf_reach,2,84,0.750000,0.643083,0.096928,0.042952,0.635980,0.583101,0.226809,0.059785,full_contact_budget_controller,all components
combined_stress,nominal_contacts,bimanual_shelf_reach,3,84,0.785714,0.643979,0.097600,0.042587,0.636918,0.584053,0.227270,0.060248,full_contact_budget_controller,all components
combined_stress,nominal_contacts,bimanual_shelf_reach,4,84,0.702381,0.644875,0.098272,0.045079,0.637713,0.584819,0.227732,0.060711,full_contact_budget_controller,all components
combined_stress,nominal_contacts,bimanual_shelf_reach,5,84,0.761905,0.645771,0.098944,0.044142,0.638680,0.585808,0.228193,0.061174,full_contact_budget_controller,all components
combined_stress,nominal_contacts,bimanual_shelf_reach,6,84,0.750000,0.646667,0.099616,0.044919,0.639561,0.586685,0.228654,0.061636,full_contact_budget_controller,all components
combined_stress,nominal_contacts,door_open_step_through,0,84,0.750000,0.640954,0.095112,0.041694,0.633888,0.590332,0.225533,0.059672,full_contact_budget_controller,all components
combined_stress,nominal_contacts,door_open_step_through,1,84,0.690476,0.641866,0.095796,0.043623,0.634728,0.591150,0.226003,0.060142,full_contact_budget_controller,all components
combined_stress,nominal_contacts,door_open_step_through,2,84,0.773810,0.642778,0.096480,0.042124,0.635739,0.592192,0.226472,0.060613,full_contact_budget_controller,all components
combined_stress,nominal_contacts,door_open_step_through,3,84,0.714286,0.643690,0.097164,0.044053,0.620570,0.593010,0.226942,0.061084,full_contact_budget_controller,all components
combined_stress,nominal_contacts,door_open_step_through,4,84,0.738095,0.644602,0.097848,0.043982,0.621510,0.593959,0.227412,0.061555,full_contact_budget_controller,all components
combined_stress,nominal_contacts,door_open_step_through,5,84,0.678571,0.645514,0.098532,0.045911,0.622349,0.594778,0.227881,0.062026,full_contact_budget_controller,all components
combined_stress,nominal_contacts,door_open_step_through,6,84,0.738095,0.646426,0.099216,0.044983,0.623332,0.595782,0.228351,0.062497,full_contact_budget_controller,all components
combined_stress,nominal_contacts,box_lift_rebalance,0,84,0.702381,0.639062,0.094278,0.042039,0.634109,0.588656,0.225037,0.065226,full_contact_budget_controller,all components
combined_stress,nominal_contacts,box_lift_rebalance,1,84,0.714286,0.639942,0.094938,0.042236,0.635003,0.589555,0.225490,0.065680,full_contact_budget_controller,all components
combined_stress,nominal_contacts,box_lift_rebalance,2,84,0.666667,0.640822,0.095598,0.043862,0.635826,0.590361,0.225944,0.066135,full_contact_budget_controller,all components
combined_stress,nominal_contacts,box_lift_rebalance,3,84,0.678571,0.641702,0.096258,0.044059,0.636720,0.591261,0.226397,0.066590,full_contact_budget_controller,all components
combined_stress,nominal_contacts,box_lift_rebalance,4,84,0.690476,0.642582,0.096918,0.044256,0.637614,0.592160,0.226850,0.067044,full_contact_budget_controller,all components
combined_stress,nominal_contacts,box_lift_rebalance,5,84,0.750000,0.643462,0.097578,0.043311,0.638566,0.593133,0.227303,0.067499,full_contact_budget_controller,all components
combined_stress,nominal_contacts,box_lift_rebalance,6,84,0.678571,0.644342,0.098238,0.045508,0.639360,0.593902,0.227756,0.059949,full_contact_budget_controller,all components
combined_stress,nominal_contacts,fallen_object_pickup,0,84,0.738095,0.646080,0.099689,0.045093,0.650342,0.586638,0.228772,0.061834,full_contact_budget_controller,all components
combined_stress,nominal_contacts,fallen_object_pickup,1,84,0.714286,0.646976,0.100361,0.046157,0.651209,0.587497,0.229233,0.062297,full_contact_budget_controller,all components
combined_stress,nominal_contacts,fallen_object_pickup,2,84,0.666667,0.647872,0.089027,0.047011,0.652086,0.588369,0.221450,0.062568,full_contact_budget_controller,all components
combined_stress,nominal_contacts,fallen_object_pickup,3,84,0.702381,0.648768,0.089699,0.046645,0.653025,0.589321,0.221912,0.063031,full_contact_budget_controller,all components
combined_stress,nominal_contacts,fallen_object_pickup,4,84,0.678571,0.649664,0.090371,0.047708,0.637883,0.590180,0.222373,0.063493,full_contact_budget_controller,all components
combined_stress,nominal_contacts,fallen_object_pickup,5,84,0.750000,0.634552,0.091043,0.046486,0.638865,0.591188,0.222835,0.063956,full_contact_budget_controller,all components
combined_stress,nominal_contacts,fallen_object_pickup,6,84,0.702381,0.635448,0.091715,0.040116,0.640103,0.592530,0.223296,0.064419,full_contact_budget_controller,all components
combined_stress,nominal_contacts,push_cart_with_footstep,0,84,0.726190,0.636248,0.091435,0.039623,0.624150,0.589566,0.222989,0.065619,full_contact_budget_controller,all components
combined_stress,nominal_contacts,push_cart_with_footstep,1,84,0.702381,0.637168,0.092125,0.040699,0.625040,0.590448,0.223463,0.066094,full_contact_budget_controller,all components
combined_stress,nominal_contacts,push_cart_with_footstep,2,84,0.761905,0.638088,0.092815,0.039775,0.626030,0.591460,0.223937,0.066569,full_contact_budget_controller,all components
combined_stress,nominal_contacts,push_cart_with_footstep,3,84,0.690476,0.639008,0.093505,0.041994,0.626863,0.592268,0.224411,0.067044,full_contact_budget_controller,all components
combined_stress,nominal_contacts,push_cart_with_footstep,4,84,0.785714,0.639928,0.094195,0.040214,0.627897,0.593335,0.224884,0.059515,full_contact_budget_controller,all components
combined_stress,nominal_contacts,push_cart_with_footstep,5,84,0.797619,0.640848,0.094885,0.040433,0.612822,0.594273,0.225358,0.059990,full_contact_budget_controller,all components
combined_stress,nominal_contacts,push_cart_with_footstep,6,84,0.761905,0.641768,0.095575,0.041795,0.613697,0.595137,0.225832,0.060465,full_contact_budget_controller,all components
combined_stress,slippery_foot_contact,bimanual_shelf_reach,0,84,0.654762,0.630975,0.100709,0.049308,0.623400,0.591326,0.226976,0.062310,full_contact_budget_controller,all components
