method,split,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
cbf_safety_controller,heldout_object,0,0.616251,0.003406,0.470372,0.007561,0.149110,0.001461,0.121807,0.002018,0.553192,0.001132,0.447150,0.001264,0.267572,0.000473,0.156872,0.002570,0.101687,0.001185,0.074527,0.000531,0.124786,0.000543,0.160078,0.002108,0.159004,0.002045,384
cbf_safety_controller,heldout_object,1,0.616259,0.003369,0.470739,0.007494,0.148607,0.001430,0.121661,0.002007,0.553420,0.001128,0.447191,0.001272,0.267825,0.000493,0.157043,0.002555,0.101804,0.001172,0.074567,0.000521,0.125004,0.000541,0.159787,0.002074,0.158829,0.002018,384
cbf_safety_controller,heldout_object,2,0.616136,0.003401,0.470238,0.007573,0.149148,0.001483,0.121613,0.002024,0.553218,0.001142,0.447029,0.001279,0.267759,0.000500,0.157034,0.002554,0.101701,0.001187,0.074583,0.000538,0.124915,0.000561,0.159959,0.002099,0.158981,0.002049,384
cbf_safety_controller,heldout_object,3,0.616316,0.003436,0.470680,0.007588,0.148850,0.001431,0.121584,0.002018,0.553247,0.001135,0.447029,0.001294,0.267922,0.000500,0.156933,0.002581,0.101583,0.001158,0.074532,0.000530,0.124985,0.000550,0.159865,0.002079,0.158824,0.002030,384
cbf_safety_controller,heldout_object,4,0.616080,0.003394,0.470401,0.007534,0.148981,0.001450,0.121446,0.001997,0.552972,0.001132,0.447311,0.001288,0.267756,0.000472,0.157240,0.002604,0.101609,0.001186,0.074430,0.000524,0.125119,0.000530,0.159784,0.002089,0.158867,0.002036,384
cbf_safety_controller,heldout_object,5,0.615856,0.003391,0.470240,0.007560,0.148821,0.001451,0.121483,0.002018,0.553174,0.001131,0.446896,0.001306,0.267753,0.000519,0.157228,0.002543,0.101570,0.001176,0.074472,0.000522,0.124850,0.000579,0.159868,0.002076,0.158827,0.002028,384
cbf_safety_controller,heldout_object,6,0.616137,0.003389,0.470437,0.007565,0.148894,0.001439,0.121467,0.002035,0.552837,0.001150,0.447021,0.001317,0.267945,0.000479,0.156934,0.002587,0.101675,0.001168,0.074533,0.000549,0.125043,0.000532,0.159779,0.002103,0.158801,0.002046,384
cbf_safety_controller,heldout_object,7,0.615913,0.003406,0.470203,0.007591,0.148846,0.001478,0.121594,0.002041,0.553028,0.001094,0.446946,0.001249,0.267722,0.000482,0.156988,0.002593,0.101792,0.001174,0.074450,0.000530,0.125068,0.000562,0.159904,0.002115,0.158852,0.002059,384
cbf_safety_controller,heldout_object,8,0.615913,0.003343,0.469957,0.007542,0.148894,0.001493,0.121748,0.002037,0.552730,0.001129,0.446963,0.001281,0.267952,0.000498,0.157038,0.002584,0.101349,0.001168,0.074511,0.000526,0.125268,0.000548,0.159795,0.002107,0.158900,0.002061,384
cbf_safety_controller,heldout_object,9,0.616481,0.003434,0.470588,0.007616,0.148752,0.001457,0.121898,0.002026,0.553359,0.001110,0.447187,0.001285,0.267973,0.000472,0.157118,0.002605,0.101830,0.001180,0.074500,0.000549,0.125072,0.000537,0.159968,0.002109,0.158988,0.002053,384
cbf_safety_controller,heldout_payload,0,0.597792,0.003729,0.418030,0.007962,0.163750,0.001466,0.139194,0.002039,0.545092,0.001136,0.438922,0.001260,0.270917,0.000499,0.163983,0.002592,0.107008,0.001151,0.078207,0.000548,0.128799,0.000549,0.175392,0.002120,0.174003,0.002058,384
cbf_safety_controller,heldout_payload,1,0.597112,0.003625,0.417390,0.007789,0.163659,0.001471,0.139108,0.002012,0.544672,0.001109,0.438816,0.001229,0.270966,0.000514,0.163986,0.002557,0.106935,0.001173,0.078036,0.000527,0.128898,0.000580,0.175246,0.002081,0.173904,0.002036,384
cbf_safety_controller,heldout_payload,2,0.597204,0.003618,0.417485,0.007808,0.163534,0.001454,0.139195,0.002027,0.544693,0.001125,0.439142,0.001299,0.271063,0.000472,0.164246,0.002585,0.106761,0.001173,0.078137,0.000518,0.128695,0.000553,0.175300,0.002086,0.173948,0.002043,384
cbf_safety_controller,heldout_payload,3,0.597270,0.003678,0.417816,0.007929,0.163437,0.001476,0.139046,0.002041,0.545117,0.001176,0.439051,0.001278,0.271057,0.000500,0.164139,0.002597,0.106844,0.001184,0.078238,0.000519,0.128794,0.000567,0.175294,0.002115,0.173853,0.002063,384
cbf_safety_controller,heldout_payload,4,0.597736,0.003686,0.418221,0.007928,0.163470,0.001464,0.139174,0.002035,0.544884,0.001147,0.439113,0.001301,0.270920,0.000497,0.163903,0.002603,0.107086,0.001159,0.078032,0.000548,0.128891,0.000559,0.175172,0.002104,0.173866,0.002059,384
cbf_safety_controller,heldout_payload,5,0.597053,0.003631,0.416907,0.007864,0.164005,0.001454,0.139249,0.002063,0.544686,0.001153,0.439145,0.001270,0.270784,0.000479,0.164271,0.002588,0.107091,0.001170,0.078324,0.000524,0.128790,0.000562,0.175555,0.002112,0.174203,0.002060,384
cbf_safety_controller,heldout_payload,6,0.597263,0.003619,0.417094,0.007844,0.164224,0.001473,0.139173,0.002022,0.544893,0.001128,0.439088,0.001305,0.271068,0.000496,0.164219,0.002607,0.106865,0.001187,0.078215,0.000543,0.128602,0.000572,0.175605,0.002097,0.174191,0.002056,384
cbf_safety_controller,heldout_payload,7,0.597096,0.003668,0.417182,0.007914,0.163689,0.001483,0.139299,0.002040,0.544759,0.001157,0.439043,0.001259,0.270857,0.000497,0.164242,0.002578,0.107052,0.001182,0.078103,0.000524,0.128689,0.000564,0.175432,0.002114,0.174074,0.002062,384
cbf_safety_controller,heldout_payload,8,0.597684,0.003675,0.417779,0.007892,0.163943,0.001488,0.139358,0.002025,0.544999,0.001144,0.439304,0.001263,0.270940,0.000478,0.163854,0.002564,0.106826,0.001165,0.078229,0.000516,0.128883,0.000560,0.175390,0.002101,0.174090,0.002046,384
cbf_safety_controller,heldout_payload,9,0.597621,0.003689,0.417531,0.007878,0.163627,0.001474,0.139475,0.002027,0.544787,0.001134,0.438964,0.001297,0.271075,0.000476,0.164268,0.002562,0.106779,0.001153,0.078271,0.000541,0.128894,0.000554,0.175460,0.002102,0.174123,0.002047,384
chance_constrained_contact_mpc,clean_deployment,0,0.704595,0.003067,0.679139,0.006820,0.102748,0.001308,0.085146,0.001796,0.608752,0.001091,0.531466,0.001275,0.278383,0.000477,0.106750,0.002588,0.062103,0.001190,0.052920,0.000533,0.148279,0.000525,0.122590,0.001979,0.109042,0.001895,384
chance_constrained_contact_mpc,clean_deployment,1,0.704075,0.003028,0.678492,0.006843,0.102708,0.001333,0.085281,0.001806,0.608802,0.001133,0.531354,0.001297,0.278255,0.000491,0.106842,0.002580,0.061991,0.001144,0.053125,0.000522,0.148403,0.000539,0.122669,0.002010,0.109120,0.001904,384
chance_constrained_contact_mpc,clean_deployment,2,0.704100,0.002975,0.678525,0.006778,0.102517,0.001305,0.085318,0.001801,0.608480,0.001096,0.531112,0.001256,0.278331,0.000490,0.106688,0.002576,0.062171,0.001195,0.052970,0.000510,0.148398,0.000542,0.122531,0.001997,0.109037,0.001893,384
chance_constrained_contact_mpc,clean_deployment,3,0.704039,0.003027,0.678390,0.006850,0.102657,0.001343,0.085180,0.001798,0.608549,0.001125,0.531048,0.001258,0.278458,0.000493,0.106618,0.002576,0.062267,0.001178,0.053249,0.000529,0.148435,0.000544,0.122805,0.002000,0.109062,0.001905,384
chance_constrained_contact_mpc,clean_deployment,4,0.704189,0.003059,0.678997,0.006851,0.102498,0.001333,0.085008,0.001806,0.609355,0.001116,0.530899,0.001264,0.278310,0.000486,0.106672,0.002586,0.062364,0.001164,0.053010,0.000525,0.148526,0.000528,0.122537,0.001999,0.108926,0.001902,384
chance_constrained_contact_mpc,clean_deployment,5,0.704194,0.003081,0.678768,0.006860,0.102645,0.001303,0.085204,0.001824,0.608738,0.001108,0.531378,0.001259,0.278285,0.000483,0.106686,0.002572,0.062199,0.001177,0.052935,0.000531,0.148254,0.000542,0.122632,0.002005,0.109031,0.001897,384
chance_constrained_contact_mpc,clean_deployment,6,0.704670,0.003037,0.679208,0.006849,0.102549,0.001326,0.085187,0.001808,0.608746,0.001127,0.531300,0.001275,0.278336,0.000486,0.106740,0.002573,0.062301,0.001169,0.053066,0.000513,0.148511,0.000530,0.122569,0.002009,0.109033,0.001902,384
chance_constrained_contact_mpc,clean_deployment,7,0.704444,0.003081,0.678999,0.006884,0.102501,0.001330,0.085300,0.001817,0.609090,0.001104,0.531180,0.001280,0.278341,0.000476,0.106852,0.002568,0.061954,0.001152,0.053118,0.000551,0.148479,0.000525,0.122725,0.002008,0.109055,0.001910,384
chance_constrained_contact_mpc,clean_deployment,8,0.703620,0.003039,0.678122,0.006851,0.102674,0.001329,0.085168,0.001788,0.608752,0.001095,0.531284,0.001301,0.278493,0.000488,0.106558,0.002583,0.062208,0.001165,0.053116,0.000529,0.148452,0.000538,0.122646,0.001996,0.109023,0.001895,384
chance_constrained_contact_mpc,clean_deployment,9,0.704361,0.003113,0.678904,0.006906,0.102438,0.001322,0.085274,0.001805,0.608738,0.001159,0.531538,0.001272,0.278623,0.000486,0.106696,0.002575,0.062355,0.001172,0.053055,0.000516,0.148321,0.000525,0.122597,0.001999,0.109028,0.001900,384
chance_constrained_contact_mpc,combined_stress,0,0.664730,0.003495,0.579939,0.007421,0.125512,0.001334,0.113464,0.001812,0.591958,0.001145,0.514243,0.001284,0.285406,0.000488,0.122572,0.002601,0.074038,0.001160,0.060977,0.000533,0.156769,0.000568,0.149941,0.002027,0.134716,0.001916,384
chance_constrained_contact_mpc,combined_stress,1,0.664431,0.003511,0.580027,0.007404,0.125243,0.001332,0.113311,0.001825,0.591888,0.001115,0.514252,0.001267,0.285465,0.000500,0.122429,0.002580,0.073712,0.001152,0.061045,0.000527,0.156749,0.000564,0.149760,0.002010,0.134499,0.001914,384
chance_constrained_contact_mpc,combined_stress,2,0.664215,0.003523,0.579419,0.007429,0.125448,0.001335,0.113593,0.001828,0.592083,0.001076,0.513904,0.001245,0.285257,0.000472,0.122623,0.002579,0.073843,0.001164,0.060824,0.000527,0.156668,0.000559,0.150062,0.002018,0.134715,0.001915,384
chance_constrained_contact_mpc,combined_stress,3,0.664316,0.003475,0.579885,0.007388,0.125307,0.001351,0.113413,0.001812,0.592011,0.001107,0.514023,0.001278,0.285319,0.000494,0.122378,0.002612,0.073569,0.001160,0.060857,0.000527,0.156803,0.000570,0.149747,0.002010,0.134509,0.001919,384
chance_constrained_contact_mpc,combined_stress,4,0.663985,0.003495,0.579051,0.007384,0.125546,0.001330,0.113570,0.001809,0.591729,0.001072,0.514116,0.001258,0.285653,0.000500,0.122309,0.002587,0.073960,0.001175,0.060921,0.000528,0.156862,0.000566,0.149860,0.001996,0.134697,0.001904,384
chance_constrained_contact_mpc,combined_stress,5,0.664259,0.003529,0.579197,0.007432,0.125715,0.001328,0.113555,0.001824,0.592034,0.001106,0.513857,0.001205,0.285653,0.000497,0.122504,0.002570,0.073712,0.001180,0.060979,0.000516,0.156918,0.000541,0.149958,0.002023,0.134770,0.001911,384
chance_constrained_contact_mpc,combined_stress,6,0.664730,0.003487,0.579736,0.007384,0.125701,0.001361,0.113617,0.001802,0.591672,0.001078,0.514081,0.001279,0.285406,0.000483,0.122568,0.002584,0.073400,0.001159,0.060829,0.000529,0.156801,0.000548,0.149875,0.002009,0.134747,0.001911,384
chance_constrained_contact_mpc,combined_stress,7,0.664373,0.003470,0.579191,0.007344,0.125967,0.001335,0.113634,0.001807,0.592081,0.001087,0.514245,0.001238,0.285144,0.000472,0.122662,0.002585,0.073881,0.001169,0.061052,0.000523,0.156947,0.000537,0.150077,0.002011,0.134954,0.001906,384
chance_constrained_contact_mpc,combined_stress,8,0.663972,0.003429,0.579154,0.007301,0.125482,0.001315,0.113475,0.001811,0.591702,0.001117,0.514157,0.001253,0.285359,0.000489,0.122751,0.002578,0.073674,0.001157,0.060933,0.000517,0.156633,0.000556,0.149992,0.001990,0.134700,0.001892,384
chance_constrained_contact_mpc,combined_stress,9,0.664730,0.003429,0.580216,0.007342,0.125623,0.001318,0.113279,0.001825,0.592171,0.001129,0.514216,0.001275,0.285204,0.000487,0.122480,0.002569,0.073686,0.001157,0.060985,0.000515,0.156733,0.000555,0.149839,0.002012,0.134615,0.001906,384
chance_constrained_contact_mpc,heldout_layout,0,0.686938,0.003211,0.639709,0.007043,0.110251,0.001315,0.095270,0.001791,0.602135,0.001113,0.524616,0.001280,0.281284,0.000506,0.113455,0.002582,0.066800,0.001154,0.056203,0.000517,0.151978,0.000537,0.132576,0.001986,0.118343,0.001891,384
chance_constrained_contact_mpc,heldout_layout,1,0.686324,0.003246,0.638794,0.007067,0.110280,0.001310,0.095342,0.001803,0.601646,0.001077,0.524590,0.001271,0.281254,0.000494,0.113517,0.002578,0.066951,0.001144,0.056395,0.000529,0.152109,0.000554,0.132751,0.001991,0.118442,0.001889,384
chance_constrained_contact_mpc,heldout_layout,2,0.686881,0.003297,0.639536,0.007180,0.110287,0.001351,0.095427,0.001826,0.602036,0.001113,0.524669,0.001277,0.281268,0.000492,0.113224,0.002582,0.066929,0.001178,0.056305,0.000536,0.151826,0.000543,0.132744,0.002027,0.118401,0.001922,384
chance_constrained_contact_mpc,heldout_layout,3,0.686668,0.003256,0.639467,0.007107,0.110306,0.001327,0.095044,0.001820,0.602062,0.001109,0.523865,0.001297,0.281216,0.000462,0.113252,0.002564,0.066819,0.001162,0.056369,0.000530,0.151789,0.000543,0.132515,0.002003,0.118248,0.001903,384
chance_constrained_contact_mpc,heldout_layout,4,0.686706,0.003290,0.639546,0.007133,0.110031,0.001358,0.095307,0.001802,0.601774,0.001138,0.524429,0.001251,0.281288,0.000462,0.113143,0.002591,0.066904,0.001163,0.056313,0.000527,0.151893,0.000540,0.132497,0.002011,0.118243,0.001907,384
chance_constrained_contact_mpc,heldout_layout,5,0.687014,0.003261,0.639988,0.007098,0.110279,0.001329,0.095215,0.001802,0.602205,0.001137,0.524906,0.001244,0.281168,0.000479,0.113309,0.002588,0.066873,0.001161,0.056183,0.000512,0.151671,0.000528,0.132519,0.002014,0.118303,0.001899,384
chance_constrained_contact_mpc,heldout_layout,6,0.686993,0.003225,0.639154,0.007094,0.110911,0.001332,0.095293,0.001824,0.601920,0.001095,0.524061,0.001296,0.281355,0.000487,0.113147,0.002575,0.067007,0.001156,0.056268,0.000518,0.151859,0.000519,0.132876,0.002020,0.118544,0.001909,384
chance_constrained_contact_mpc,heldout_layout,7,0.686728,0.003200,0.639193,0.007061,0.110305,0.001307,0.095502,0.001820,0.601912,0.001142,0.524134,0.001263,0.281340,0.000483,0.113253,0.002569,0.066793,0.001168,0.056142,0.000545,0.151861,0.000526,0.132682,0.002004,0.118405,0.001900,384
chance_constrained_contact_mpc,heldout_layout,8,0.686384,0.003241,0.639345,0.007154,0.110067,0.001348,0.095245,0.001850,0.601961,0.001129,0.524464,0.001259,0.281152,0.000493,0.113121,0.002595,0.067008,0.001167,0.056191,0.000531,0.151961,0.000543,0.132560,0.002044,0.118220,0.001934,384
chance_constrained_contact_mpc,heldout_layout,9,0.686706,0.003222,0.639472,0.007079,0.110399,0.001312,0.095297,0.001827,0.602158,0.001080,0.524423,0.001307,0.281184,0.000494,0.112914,0.002607,0.066925,0.001136,0.056458,0.000523,0.151747,0.000547,0.132694,0.002022,0.118337,0.001914,384
chance_constrained_contact_mpc,heldout_object,0,0.695031,0.003199,0.657679,0.007019,0.106683,0.001318,0.090792,0.001787,0.605034,0.001129,0.527396,0.001271,0.279710,0.000487,0.110234,0.002564,0.064705,0.001179,0.054982,0.000539,0.150170,0.000554,0.128110,0.002003,0.114118,0.001896,384
chance_constrained_contact_mpc,heldout_object,1,0.694703,0.003184,0.657271,0.006990,0.106779,0.001337,0.090732,0.001795,0.605171,0.001105,0.527364,0.001248,0.279874,0.000481,0.110327,0.002573,0.064801,0.001167,0.054884,0.000526,0.150355,0.000542,0.128122,0.001997,0.114144,0.001896,384
chance_constrained_contact_mpc,heldout_object,2,0.694974,0.003125,0.657742,0.006991,0.106396,0.001337,0.090839,0.001819,0.605114,0.001109,0.527528,0.001255,0.279770,0.000504,0.110646,0.002584,0.064661,0.001171,0.054631,0.000543,0.150325,0.000524,0.128011,0.002019,0.114077,0.001913,384
chance_constrained_contact_mpc,heldout_object,3,0.695162,0.003108,0.657841,0.006953,0.106596,0.001317,0.090703,0.001813,0.605218,0.001123,0.527769,0.001296,0.280141,0.000486,0.110384,0.002604,0.064914,0.001159,0.055005,0.000535,0.150380,0.000524,0.128154,0.002018,0.114113,0.001908,384
chance_constrained_contact_mpc,heldout_object,4,0.695029,0.003109,0.657463,0.006944,0.106932,0.001330,0.090592,0.001808,0.605117,0.001118,0.527340,0.001271,0.279988,0.000488,0.110495,0.002555,0.064887,0.001146,0.054852,0.000529,0.150626,0.000550,0.128057,0.001989,0.114180,0.001900,384
chance_constrained_contact_mpc,heldout_object,5,0.695050,0.003066,0.657760,0.006900,0.106434,0.001322,0.090589,0.001799,0.604903,0.001115,0.527037,0.001254,0.280003,0.000497,0.110511,0.002577,0.064905,0.001170,0.054781,0.000524,0.150127,0.000557,0.127994,0.002001,0.114005,0.001893,384
chance_constrained_contact_mpc,heldout_object,6,0.694857,0.003114,0.657309,0.006960,0.106833,0.001354,0.090583,0.001810,0.604941,0.001095,0.527213,0.001280,0.280117,0.000499,0.110360,0.002553,0.065000,0.001175,0.054862,0.000530,0.150364,0.000540,0.128082,0.002014,0.114128,0.001906,384
chance_constrained_contact_mpc,heldout_object,7,0.694878,0.003168,0.657504,0.007016,0.106251,0.001334,0.090920,0.001821,0.605210,0.001114,0.526974,0.001272,0.279886,0.000487,0.110463,0.002585,0.064783,0.001201,0.055028,0.000507,0.150351,0.000547,0.128039,0.002013,0.114092,0.001912,384
