ablation,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_budget_violation_rate,ci95_budget_violation_rate,mean_fall_rate,ci95_fall_rate,mean_balance_margin,ci95_balance_margin,mean_recovery_success,ci95_recovery_success,mean_energy_contact_cost,ci95_energy_contact_cost,mean_reserve_starvation_rate,ci95_reserve_starvation_rate,mean_contact_overuse_rate,ci95_contact_overuse_rate,mean_calibration_error,ci95_calibration_error,mean_conservatism_rate,ci95_conservatism_rate,mean_predicted_breach_risk,ci95_predicted_breach_risk,mean_realized_breach_risk,ci95_realized_breach_risk,n
greedy_budget_only,0,0.701741,0.003664,0.646509,0.007653,0.177705,0.001490,0.088576,0.001825,0.615121,0.001083,0.580673,0.001242,0.183458,0.000472,0.133131,0.002595,0.112682,0.001165,0.055939,0.000545,0.038913,0.000565,0.168198,0.002027,0.148264,0.001971,384
greedy_budget_only,1,0.701644,0.003650,0.646434,0.007731,0.177705,0.001539,0.088511,0.001856,0.615281,0.001115,0.580452,0.001298,0.183465,0.000485,0.133183,0.002607,0.112714,0.001134,0.055915,0.000550,0.038921,0.000552,0.168196,0.002060,0.148248,0.002005,384
greedy_budget_only,2,0.701336,0.003686,0.646203,0.007721,0.177830,0.001493,0.088556,0.001839,0.615299,0.001131,0.581121,0.001277,0.183446,0.000506,0.133209,0.002588,0.112510,0.001172,0.055870,0.000528,0.038865,0.000558,0.168154,0.002043,0.148285,0.001982,384
greedy_budget_only,3,0.701869,0.003614,0.646647,0.007696,0.177799,0.001522,0.088548,0.001835,0.615260,0.001098,0.580690,0.001310,0.183342,0.000489,0.133157,0.002631,0.112690,0.001154,0.055969,0.000528,0.038881,0.000559,0.168150,0.002053,0.148295,0.001995,384
greedy_budget_only,4,0.701759,0.003571,0.646633,0.007562,0.177568,0.001477,0.088691,0.001834,0.615322,0.001106,0.581084,0.001224,0.183518,0.000494,0.133225,0.002559,0.112543,0.001169,0.056006,0.000536,0.038883,0.000548,0.168164,0.002026,0.148279,0.001967,384
greedy_budget_only,5,0.701684,0.003575,0.646368,0.007630,0.177755,0.001514,0.088549,0.001824,0.615142,0.001105,0.580428,0.001303,0.183407,0.000485,0.133303,0.002601,0.112540,0.001176,0.056034,0.000545,0.038679,0.000576,0.168165,0.002043,0.148304,0.001985,384
greedy_budget_only,6,0.701984,0.003577,0.646657,0.007589,0.177787,0.001511,0.088700,0.001810,0.615154,0.001126,0.580952,0.001285,0.183463,0.000491,0.133251,0.002578,0.112623,0.001155,0.055843,0.000526,0.038845,0.000558,0.168268,0.002017,0.148349,0.001968,384
greedy_budget_only,7,0.702195,0.003610,0.646675,0.007636,0.177818,0.001465,0.088830,0.001826,0.614894,0.001116,0.580777,0.001279,0.183549,0.000506,0.133095,0.002580,0.112499,0.001180,0.055962,0.000520,0.038809,0.000560,0.168253,0.002019,0.148382,0.001963,384
greedy_budget_only,8,0.701897,0.003592,0.646780,0.007616,0.177709,0.001502,0.088558,0.001812,0.615083,0.001102,0.580819,0.001281,0.183399,0.000493,0.133056,0.002578,0.112563,0.001208,0.055960,0.000531,0.038692,0.000551,0.168248,0.002026,0.148230,0.001971,384
greedy_budget_only,9,0.701134,0.003544,0.645744,0.007568,0.178021,0.001511,0.088483,0.001817,0.615587,0.001137,0.580403,0.001248,0.183669,0.000502,0.133238,0.002589,0.112690,0.001168,0.055862,0.000517,0.038779,0.000562,0.168340,0.002029,0.148346,0.001971,384
minus_balance_price,0,0.757274,0.003088,0.849298,0.006561,0.084029,0.001149,0.063414,0.001591,0.634718,0.001077,0.652784,0.001243,0.187646,0.000480,0.061162,0.002575,0.043921,0.001140,0.035401,0.000521,0.071524,0.000545,0.101521,0.001883,0.078886,0.001744,384
minus_balance_price,1,0.757984,0.003077,0.850652,0.006593,0.083718,0.001190,0.063167,0.001614,0.634804,0.001083,0.653568,0.001255,0.187583,0.000491,0.061163,0.002579,0.043726,0.001160,0.035508,0.000536,0.071549,0.000554,0.101318,0.001905,0.078668,0.001767,384
minus_balance_price,2,0.757451,0.003127,0.849727,0.006622,0.084062,0.001147,0.063058,0.001598,0.635017,0.001083,0.652959,0.001245,0.187616,0.000495,0.061554,0.002601,0.043877,0.001169,0.035412,0.000521,0.071532,0.000532,0.101504,0.001900,0.078830,0.001752,384
minus_balance_price,3,0.758275,0.003062,0.851021,0.006555,0.083592,0.001150,0.063060,0.001597,0.634806,0.001096,0.653366,0.001267,0.187536,0.000515,0.061501,0.002581,0.043612,0.001187,0.035412,0.000522,0.071395,0.000543,0.101350,0.001899,0.078628,0.001756,384
minus_balance_price,4,0.757984,0.003117,0.850439,0.006623,0.083598,0.001164,0.063175,0.001610,0.634673,0.001080,0.652959,0.001250,0.187399,0.000496,0.061480,0.002598,0.043969,0.001189,0.035566,0.000516,0.071512,0.000543,0.101293,0.001900,0.078738,0.001759,384
minus_balance_price,5,0.757618,0.003087,0.850318,0.006615,0.083661,0.001181,0.063002,0.001594,0.634644,0.001078,0.653196,0.001265,0.187419,0.000475,0.061429,0.002581,0.043626,0.001182,0.035490,0.000526,0.071460,0.000552,0.101269,0.001900,0.078624,0.001758,384
minus_balance_price,6,0.758505,0.003153,0.850713,0.006677,0.083943,0.001201,0.063354,0.001596,0.634891,0.001101,0.653120,0.001255,0.187578,0.000487,0.061481,0.002573,0.043595,0.001160,0.035510,0.000528,0.071340,0.000559,0.101467,0.001908,0.078878,0.001764,384
minus_balance_price,7,0.757909,0.003090,0.850279,0.006604,0.083879,0.001202,0.063224,0.001592,0.635105,0.001072,0.652955,0.001242,0.187453,0.000479,0.061402,0.002584,0.043946,0.001176,0.035500,0.000524,0.071306,0.000542,0.101481,0.001916,0.078825,0.001767,384
minus_balance_price,8,0.757688,0.003071,0.850189,0.006571,0.083684,0.001166,0.063205,0.001596,0.634760,0.001107,0.652909,0.001241,0.187366,0.000468,0.061239,0.002574,0.043929,0.001180,0.035494,0.000528,0.071492,0.000532,0.101481,0.001902,0.078712,0.001754,384
minus_balance_price,9,0.758239,0.003146,0.850737,0.006668,0.083622,0.001188,0.063332,0.001599,0.634818,0.001069,0.653319,0.001256,0.187471,0.000493,0.061422,0.002589,0.043612,0.001179,0.035594,0.000538,0.071416,0.000550,0.101432,0.001920,0.078760,0.001766,384
minus_calibration_guard,0,0.771531,0.002921,0.902245,0.006224,0.073482,0.001173,0.052183,0.001433,0.698143,0.001049,0.677865,0.001254,0.183917,0.000484,0.044715,0.002569,0.037227,0.001165,0.066766,0.000522,0.071176,0.000542,0.093382,0.001816,0.070552,0.001676,384
minus_calibration_guard,1,0.772122,0.002896,0.903135,0.006158,0.073200,0.001132,0.052349,0.001422,0.698374,0.001081,0.678159,0.001250,0.183986,0.000482,0.044423,0.002573,0.036850,0.001165,0.066981,0.000520,0.071143,0.000562,0.093329,0.001800,0.070447,0.001662,384
minus_calibration_guard,2,0.771594,0.002928,0.902567,0.006211,0.073138,0.001130,0.052364,0.001434,0.698642,0.001077,0.677881,0.001234,0.184062,0.000502,0.044542,0.002586,0.037093,0.001181,0.066772,0.000523,0.071251,0.000547,0.093311,0.001826,0.070458,0.001672,384
minus_calibration_guard,3,0.771840,0.002868,0.902885,0.006166,0.072981,0.001140,0.052451,0.001446,0.698487,0.001082,0.677974,0.001222,0.184117,0.000482,0.044460,0.002591,0.036880,0.001170,0.066763,0.000530,0.071374,0.000547,0.093354,0.001838,0.070397,0.001678,384
minus_calibration_guard,4,0.771721,0.002901,0.902291,0.006139,0.073437,0.001120,0.052584,0.001431,0.698468,0.001083,0.677754,0.001240,0.184202,0.000469,0.044375,0.002572,0.036988,0.001146,0.066730,0.000534,0.071215,0.000539,0.093358,0.001814,0.070597,0.001663,384
minus_calibration_guard,5,0.771875,0.002923,0.903062,0.006156,0.073124,0.001119,0.052272,0.001426,0.698645,0.001076,0.677899,0.001248,0.183939,0.000497,0.044430,0.002552,0.037219,0.001162,0.066431,0.000541,0.071228,0.000539,0.093170,0.001811,0.070358,0.001654,384
minus_calibration_guard,6,0.772127,0.002906,0.903008,0.006163,0.073124,0.001151,0.052438,0.001407,0.698204,0.001064,0.678027,0.001236,0.183802,0.000475,0.044575,0.002576,0.036993,0.001178,0.066915,0.000493,0.071401,0.000534,0.093248,0.001807,0.070500,0.001659,384
minus_calibration_guard,7,0.770906,0.002865,0.901612,0.006099,0.073250,0.001085,0.052330,0.001420,0.698593,0.001063,0.677632,0.001227,0.184082,0.000501,0.044754,0.002586,0.037266,0.001177,0.066925,0.000517,0.071249,0.000558,0.093454,0.001790,0.070571,0.001647,384
minus_calibration_guard,8,0.771940,0.002910,0.902621,0.006143,0.073234,0.001125,0.052542,0.001407,0.698550,0.001065,0.677865,0.001215,0.184073,0.000494,0.044569,0.002561,0.037040,0.001154,0.066938,0.000529,0.071433,0.000537,0.093373,0.001788,0.070589,0.001651,384
minus_calibration_guard,9,0.771751,0.002912,0.902404,0.006199,0.073296,0.001126,0.052586,0.001425,0.698612,0.001106,0.678028,0.001253,0.183771,0.000487,0.044899,0.002578,0.036802,0.001172,0.066974,0.000507,0.071419,0.000525,0.093545,0.001807,0.070677,0.001657,384
minus_dual_price,0,0.750598,0.003178,0.816227,0.006644,0.111493,0.001223,0.064120,0.001537,0.681306,0.001097,0.635273,0.001223,0.193304,0.000484,0.089796,0.002564,0.055635,0.001171,0.036760,0.000541,0.065256,0.000531,0.118707,0.001879,0.096416,0.001748,384
minus_dual_price,1,0.750541,0.003147,0.816154,0.006673,0.111463,0.001236,0.064250,0.001552,0.681151,0.001091,0.635250,0.001249,0.193108,0.000483,0.089745,0.002588,0.055583,0.001177,0.036659,0.000526,0.065142,0.000550,0.118883,0.001890,0.096428,0.001759,384
minus_dual_price,2,0.751051,0.003105,0.816912,0.006589,0.111244,0.001237,0.064039,0.001558,0.681296,0.001042,0.635291,0.001267,0.193614,0.000502,0.089667,0.002576,0.055631,0.001141,0.036727,0.000526,0.065078,0.000537,0.118574,0.001892,0.096264,0.001754,384
minus_dual_price,3,0.750994,0.003161,0.816279,0.006690,0.111462,0.001229,0.064126,0.001549,0.680547,0.001099,0.635089,0.001267,0.193500,0.000499,0.089979,0.002578,0.055705,0.001135,0.036871,0.000514,0.065050,0.000527,0.118859,0.001877,0.096472,0.001752,384
minus_dual_price,4,0.750713,0.003096,0.816479,0.006554,0.111298,0.001233,0.064028,0.001517,0.680977,0.001080,0.635316,0.001230,0.193478,0.000490,0.089972,0.002565,0.055468,0.001174,0.036534,0.000508,0.065018,0.000528,0.118621,0.001878,0.096298,0.001734,384
minus_dual_price,5,0.750598,0.003129,0.816169,0.006632,0.111486,0.001230,0.064150,0.001544,0.681064,0.001052,0.635453,0.001246,0.193394,0.000494,0.089791,0.002565,0.055803,0.001173,0.036635,0.000524,0.065173,0.000547,0.118723,0.001871,0.096427,0.001749,384
minus_dual_price,6,0.750994,0.003154,0.816432,0.006662,0.111611,0.001252,0.064242,0.001526,0.681064,0.001071,0.635622,0.001285,0.193419,0.000514,0.090025,0.002578,0.055485,0.001176,0.036640,0.000518,0.064904,0.000539,0.118900,0.001882,0.096523,0.001751,384
minus_dual_price,7,0.750880,0.003133,0.816696,0.006637,0.111048,0.001232,0.064082,0.001534,0.680986,0.001104,0.635049,0.001256,0.193291,0.000506,0.089868,0.002568,0.055616,0.001193,0.036839,0.000533,0.065174,0.000552,0.118657,0.001892,0.096273,0.001749,384
minus_dual_price,8,0.750737,0.003147,0.816363,0.006672,0.111368,0.001228,0.064121,0.001555,0.681285,0.001075,0.635046,0.001257,0.193488,0.000500,0.089875,0.002580,0.055448,0.001175,0.036693,0.000531,0.065392,0.000538,0.118626,0.001882,0.096359,0.001753,384
minus_dual_price,9,0.751023,0.003131,0.816212,0.006614,0.111588,0.001229,0.064375,0.001555,0.680996,0.001057,0.635404,0.001284,0.193344,0.000489,0.089927,0.002555,0.055861,0.001162,0.036875,0.000511,0.065153,0.000535,0.118845,0.001875,0.096627,0.001747,384
minus_episode_budget,0,0.755872,0.003092,0.819730,0.006560,0.125281,0.001297,0.062063,0.001500,0.681467,0.001084,0.651916,0.001221,0.193858,0.000488,0.080635,0.002560,0.059216,0.001186,0.036511,0.000518,0.065249,0.000540,0.121276,0.001896,0.098619,0.001753,384
minus_episode_budget,1,0.755872,0.003025,0.819918,0.006502,0.125156,0.001274,0.061846,0.001502,0.681472,0.001071,0.651591,0.001262,0.194008,0.000497,0.080583,0.002571,0.059281,0.001175,0.036294,0.000519,0.065523,0.000532,0.121005,0.001888,0.098452,0.001742,384
minus_episode_budget,2,0.756087,0.003048,0.820093,0.006530,0.125124,0.001259,0.062024,0.001533,0.681384,0.001089,0.651464,0.001237,0.193761,0.000490,0.080453,0.002575,0.059267,0.001161,0.036256,0.000532,0.065393,0.000532,0.121025,0.001897,0.098480,0.001758,384
minus_episode_budget,3,0.756145,0.003068,0.820483,0.006532,0.124937,0.001253,0.061842,0.001510,0.681516,0.001081,0.651868,0.001216,0.193872,0.000477,0.080375,0.002606,0.059424,0.001180,0.036429,0.000543,0.065374,0.000533,0.120963,0.001902,0.098366,0.001759,384
minus_episode_budget,4,0.755585,0.003089,0.819962,0.006525,0.124888,0.001226,0.061915,0.001507,0.681884,0.001101,0.651916,0.001204,0.193896,0.000491,0.080646,0.002592,0.059235,0.001171,0.036308,0.000534,0.065306,0.000541,0.120960,0.001869,0.098400,0.001736,384
minus_episode_budget,5,0.756044,0.003004,0.820122,0.006484,0.124982,0.001270,0.062036,0.001524,0.681360,0.001043,0.651999,0.001250,0.193816,0.000483,0.080647,0.002588,0.059340,0.001161,0.036415,0.000524,0.065330,0.000536,0.121102,0.001905,0.098510,0.001761,384
minus_episode_budget,6,0.755686,0.003044,0.820072,0.006540,0.124888,0.001256,0.061959,0.001494,0.681443,0.001085,0.652047,0.001225,0.193822,0.000495,0.080412,0.002599,0.059065,0.001178,0.036374,0.000524,0.065318,0.000544,0.121070,0.001884,0.098355,0.001750,384
minus_episode_budget,7,0.756374,0.003090,0.820457,0.006540,0.125076,0.001266,0.061996,0.001520,0.681745,0.001082,0.651521,0.001209,0.193872,0.000485,0.080360,0.002578,0.059287,0.001165,0.036545,0.000522,0.065591,0.000548,0.121084,0.001887,0.098474,0.001754,384
minus_episode_budget,8,0.756331,0.002992,0.820537,0.006492,0.124935,0.001308,0.061961,0.001524,0.681542,0.001066,0.651746,0.001227,0.193971,0.000494,0.080321,0.002594,0.059293,0.001167,0.036538,0.000519,0.065497,0.000543,0.120958,0.001918,0.098403,0.001773,384
minus_episode_budget,9,0.755757,0.003066,0.819687,0.006549,0.125467,0.001256,0.061991,0.001493,0.681816,0.001098,0.652217,0.001263,0.193975,0.000497,0.080503,0.002575,0.059398,0.001166,0.036408,0.000525,0.065383,0.000551,0.121290,0.001889,0.098631,0.001744,384
minus_fixed_budget_screen,0,0.769779,0.003004,0.882966,0.006387,0.095210,0.001193,0.058130,0.001494,0.695491,0.001044,0.675260,0.001222,0.178394,0.000517,0.052425,0.002564,0.053793,0.001164,0.039285,0.000514,0.041469,0.000527,0.103118,0.001863,0.080275,0.001715,384
minus_fixed_budget_screen,1,0.769664,0.002924,0.883447,0.006302,0.094507,0.001180,0.058140,0.001491,0.695431,0.001077,0.675600,0.001241,0.178464,0.000482,0.052309,0.002563,0.053736,0.001170,0.039269,0.000539,0.041316,0.000547,0.102885,0.001857,0.080005,0.001711,384
minus_fixed_budget_screen,2,0.769750,0.003009,0.883620,0.006421,0.094773,0.001178,0.057961,0.001510,0.695383,0.001128,0.676058,0.001219,0.178293,0.000491,0.052322,0.002566,0.053799,0.001171,0.039166,0.000530,0.041472,0.000551,0.102778,0.001863,0.080016,0.001719,384
minus_fixed_budget_screen,3,0.770438,0.002897,0.884174,0.006253,0.094819,0.001194,0.058139,0.001507,0.695560,0.001031,0.675811,0.001234,0.178529,0.000477,0.052126,0.002567,0.053573,0.001174,0.039200,0.000523,0.041358,0.000540,0.102915,0.001870,0.080041,0.001720,384
minus_fixed_budget_screen,4,0.769550,0.003000,0.883035,0.006449,0.094866,0.001206,0.058217,0.001521,0.695430,0.001107,0.675645,0.001267,0.178583,0.000495,0.052269,0.002578,0.053643,0.001180,0.039148,0.000544,0.041568,0.000541,0.102947,0.001900,0.080123,0.001739,384
minus_fixed_budget_screen,5,0.769492,0.002975,0.883269,0.006380,0.094695,0.001187,0.058029,0.001502,0.695463,0.001095,0.675870,0.001263,0.178353,0.000480,0.052335,0.002582,0.053860,0.001172,0.039369,0.000533,0.041379,0.000531,0.102907,0.001876,0.080057,0.001727,384
minus_fixed_budget_screen,6,0.770094,0.002983,0.883789,0.006385,0.094679,0.001186,0.058069,0.001526,0.695623,0.001097,0.675669,0.001212,0.178444,0.000461,0.052400,0.002583,0.053871,0.001202,0.039349,0.000535,0.041497,0.000531,0.102976,0.001881,0.080081,0.001738,384
minus_fixed_budget_screen,7,0.769463,0.002933,0.883222,0.006340,0.094788,0.001211,0.057953,0.001494,0.695440,0.001088,0.675748,0.001273,0.178546,0.000483,0.052412,0.002598,0.053683,0.001146,0.039041,0.000535,0.041536,0.000531,0.102842,0.001874,0.080007,0.001728,384
minus_fixed_budget_screen,8,0.769363,0.002950,0.883083,0.006366,0.094725,0.001220,0.058038,0.001513,0.695487,0.001087,0.675931,0.001266,0.178518,0.000498,0.052439,0.002580,0.053695,0.001176,0.039366,0.000528,0.041395,0.000539,0.102942,0.001886,0.080074,0.001739,384
minus_fixed_budget_screen,9,0.770223,0.002939,0.883697,0.006360,0.094991,0.001192,0.058027,0.001505,0.695236,0.001074,0.675889,0.001241,0.178428,0.000486,0.052504,0.002590,0.053781,0.001164,0.039245,0.000533,0.041492,0.000514,0.102978,0.001894,0.080167,0.001726,384
minus_manipulation_reserve,0,0.762096,0.002972,0.862314,0.006299,0.094488,0.001162,0.058031,0.001494,0.691271,0.001086,0.659513,0.001256,0.188004,0.000489,0.072238,0.002577,0.046005,0.001167,0.033606,0.000534,0.069637,0.000526,0.105403,0.001859,0.082617,0.001699,384
minus_manipulation_reserve,1,0.762647,0.002940,0.862507,0.006308,0.094706,0.001158,0.058358,0.001500,0.691310,0.001057,0.659800,0.001237,0.188066,0.000484,0.072420,0.002562,0.045954,0.001151,0.033362,0.000504,0.069533,0.000540,0.105698,0.001855,0.082828,0.001701,384
minus_manipulation_reserve,2,0.762320,0.002988,0.862785,0.006393,0.094425,0.001176,0.058140,0.001481,0.691251,0.001077,0.659865,0.001255,0.187769,0.000481,0.072211,0.002590,0.045501,0.001176,0.033418,0.000535,0.069570,0.000538,0.105393,0.001856,0.082548,0.001709,384
minus_manipulation_reserve,3,0.762412,0.002906,0.863151,0.006269,0.094238,0.001169,0.058034,0.001458,0.691256,0.001036,0.660002,0.001269,0.187798,0.000488,0.072004,0.002597,0.045676,0.001181,0.033464,0.000521,0.069533,0.000559,0.105237,0.001853,0.082422,0.001701,384
minus_manipulation_reserve,4,0.762475,0.002942,0.862886,0.006301,0.094238,0.001165,0.058228,0.001486,0.691522,0.001098,0.659796,0.001271,0.187813,0.000479,0.072446,0.002563,0.045671,0.001156,0.033573,0.000527,0.069536,0.000535,0.105454,0.001848,0.082616,0.001698,384
minus_manipulation_reserve,5,0.762554,0.002965,0.863094,0.006321,0.094550,0.001185,0.058014,0.001477,0.691594,0.001061,0.660180,0.001249,0.187845,0.000488,0.072420,0.002581,0.045455,0.001131,0.033536,0.000528,0.069332,0.000522,0.105463,0.001860,0.082595,0.001700,384
minus_manipulation_reserve,6,0.761897,0.003020,0.861837,0.006432,0.094550,0.001180,0.058273,0.001474,0.691084,0.001099,0.659677,0.001278,0.188012,0.000491,0.072602,0.002610,0.045757,0.001176,0.033384,0.000533,0.069557,0.000530,0.105569,0.001861,0.082759,0.001714,384
minus_manipulation_reserve,7,0.763180,0.002929,0.863426,0.006289,0.094395,0.001153,0.058226,0.001481,0.691240,0.001076,0.659813,0.001202,0.187989,0.000490,0.072368,0.002590,0.045758,0.001151,0.033364,0.000527,0.069595,0.000531,0.105442,0.001867,0.082632,0.001702,384
minus_manipulation_reserve,8,0.763058,0.002983,0.863360,0.006414,0.094457,0.001205,0.058322,0.001511,0.691636,0.001066,0.659853,0.001260,0.187943,0.000509,0.072186,0.002582,0.045788,0.001155,0.033382,0.000512,0.069503,0.000534,0.105446,0.001879,0.082660,0.001724,384
minus_manipulation_reserve,9,0.762449,0.002989,0.862800,0.006408,0.094331,0.001178,0.058337,0.001524,0.691518,0.001090,0.660008,0.001276,0.187602,0.000504,0.072445,0.002588,0.045650,0.001169,0.033598,0.000532,0.069609,0.000535,0.105469,0.001888,0.082694,0.001733,384
minus_recovery_reserve,0,0.763616,0.003052,0.839347,0.006509,0.091396,0.001182,0.063400,0.001552,0.688569,0.001070,0.604415,0.001233,0.187840,0.000497,0.099259,0.002565,0.044322,0.001185,0.034978,0.000521,0.067508,0.000547,0.112342,0.001882,0.089755,0.001737,384
minus_recovery_reserve,1,0.764057,0.003048,0.839610,0.006514,0.091316,0.001199,0.063544,0.001577,0.688613,0.001091,0.603840,0.001265,0.187951,0.000490,0.099089,0.002574,0.044543,0.001160,0.034950,0.000519,0.067422,0.000545,0.112474,0.001895,0.089774,0.001748,384
minus_recovery_reserve,2,0.763726,0.002999,0.839525,0.006518,0.091207,0.001217,0.063467,0.001582,0.688829,0.001122,0.603833,0.001277,0.187869,0.000496,0.099076,0.002616,0.044366,0.001176,0.034993,0.000508,0.067366,0.000566,0.112443,0.001910,0.089686,0.001769,384
minus_recovery_reserve,3,0.764052,0.003002,0.840098,0.006474,0.090880,0.001197,0.063343,0.001565,0.688545,0.001055,0.603826,0.001197,0.187870,0.000487,0.099220,0.002590,0.044435,0.001163,0.034778,0.000518,0.067319,0.000537,0.112310,0.001897,0.089533,0.001752,384
minus_recovery_reserve,4,0.763713,0.003014,0.839600,0.006458,0.090997,0.001199,0.063504,0.001559,0.689043,0.001082,0.603963,0.001269,0.187994,0.000492,0.099292,0.002594,0.044346,0.001123,0.035005,0.000499,0.067381,0.000520,0.112370,0.001887,0.089677,0.001742,384
minus_recovery_reserve,5,0.764475,0.003090,0.840599,0.006589,0.090824,0.001205,0.063377,0.001575,0.688791,0.001084,0.603970,0.001254,0.187709,0.000500,0.099304,0.002597,0.044467,0.001155,0.034899,0.000533,0.067362,0.000546,0.112271,0.001901,0.089567,0.001759,384
minus_recovery_reserve,6,0.763823,0.003030,0.839646,0.006492,0.091058,0.001205,0.063489,0.001552,0.688397,0.001064,0.604215,0.001238,0.187950,0.000476,0.099109,0.002597,0.044473,0.001160,0.034947,0.000536,0.067354,0.000559,0.112327,0.001897,0.089658,0.001752,384
minus_recovery_reserve,7,0.764242,0.003018,0.840183,0.006498,0.091263,0.001205,0.063405,0.001556,0.689035,0.001113,0.604017,0.001255,0.187843,0.000486,0.098966,0.002573,0.044355,0.001170,0.035068,0.000513,0.067271,0.000545,0.112333,0.001881,0.089664,0.001743,384
minus_recovery_reserve,8,0.764252,0.003077,0.840136,0.006549,0.091036,0.001215,0.063517,0.001541,0.688647,0.001073,0.603983,0.001234,0.187835,0.000500,0.099090,0.002590,0.044288,0.001178,0.034974,0.000541,0.067467,0.000534,0.112338,0.001894,0.089640,0.001754,384
minus_recovery_reserve,9,0.764155,0.003088,0.840051,0.006565,0.091113,0.001220,0.063568,0.001558,0.689174,0.001080,0.604015,0.001238,0.187826,0.000511,0.099102,0.002610,0.044539,0.001178,0.034833,0.000535,0.067526,0.000548,0.112410,0.001907,0.089701,0.001761,384
minus_reliability_model,0,0.758370,0.003051,0.851189,0.006529,0.088446,0.001196,0.064330,0.001563,0.673758,0.001119,0.665252,0.001206,0.195498,0.000490,0.057528,0.002579,0.068916,0.001155,0.044480,0.000532,0.068329,0.000541,0.104946,0.001832,0.084244,0.001750,384
minus_reliability_model,1,0.758123,0.003094,0.851464,0.006560,0.088196,0.001175,0.064086,0.001564,0.674037,0.001074,0.665845,0.001220,0.195453,0.000497,0.057606,0.002579,0.069199,0.001186,0.044283,0.000520,0.068597,0.000535,0.104691,0.001830,0.084080,0.001744,384
